Código IES,Nome da IES - Instituição de Ensino Superior
3443,FACULDADE INEDI
3444,FACULDADE DE CIENCIAS BIOLOGICAS E SOCIAIS APL
3445,FACULDADE JOAO DO VALE
3446,INSTITUTO SUPERIOR DE EDUCACAO JOAO DO VALE
3447,FACULDADES SANTAMARIA
3448,INSTITUTO SUPERIOR DE EDUCACAO IBITURUNA
3449,TRECSON FACULDADE DE CIENCIAS SOCIAIS APLICADA
3450,FACULDADES MASTER
3451,INSTITUTO SUPERIOR DE EDUCACAO DO LITORAL CATA
3453,FACULDADE JUSCELINO KUBTSCHEK GUARA
3454,FACULDADES LEONEL AGUIAR
3455,FACULDADE DE EDUCACAO EXPOVEST
3456,FACULDADE POLITECNICA DE CAMPINAS
3458,ACADEMIA TEOLOGICA DA GRACA DE DEUS
3459,INSTITUTO DE ENSINO SUPERIOR E PESQUISA
3460,INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITU
3462,FACULDADE DE ENFERMAGEM DE PASSOS
3463,FACULDADE DE DIREITO DE PASSOS
3464,FACULDADE DE ENGENHARIA DE PASSOS
3465,FACULDADE DE INFORMATICA DE PASSOS
3466,FACULDADE DE SERVICO SOCIAL DE PASSOS
3467,FACULDADE DE NUTRICAO DA FUNDACAO DE ENSINO SU
3468,FACULDADE DE ENGENHARIA DO TRIANGULO MINEIRO
3469,FACULDADE DE ADMINISTRACAO DE PASSOS
3470,FACULDADE EDUCACAO FISICA DE PASSOS
3471,FACULDADE DE MODA DE PASSOS
3472,INSTITUTO SUPERIOR DE EDUCACAO DE PASSOS
3473,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CA
3475,INSTITUTO SUPERIOR DE EDUCACAO DE CARANGOLA
3476,FACULDADE DE FILOSOFIA E LETRAS DE DIAMANTINA
3477,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS NOSSA
3478,FACULDADE DE CIENCIAS EXATAS E HUMANAS DA CAMP
3479,INSTITUTO SUPERIOR DE EDUCACAO NOSSA SENHORA D
3480,FACULDADE DE CIENCIAS JURIDICAS DE DIAMANTINA
3481,INSTITUTO SUPERIOR DE EDUCACAO DE DIAMANTINA
3482,INSTITUTO SUPERIOR DE EDUCACAO DE DIVINOPOLIS
3483,INSTITUTO SUPERIOR DE EDUCACAO DE CLAUDIO
3485,INSTITUTO SUPERIOR DE EDUCACAO DO ALTO SAO FRA
3486,INSTITUTO SUPERIOR DE EDUCACAO DE ITUIUTABA
3487,FACULDADE SENACRS
3488,CENTRO DE ENSINO SUPERIOR DE CONSELHEIRO LAFAI
3489,FACULDADE DE CIENCIAS SOCIAIS APLICADAS DE CON
3490,FACULDADE DE ENGENHARIA ELETRICA DE CONSELHEIR
3491,FACULDADE EVANGELICA DO BRASIL FAEB
3492,FACULDADE DE DIREITO DO PIAUI
3493,FACULDADE PROJETO DIDATICO
3494,FACULDADE GUAJARAENSE DE EDUCACAO E CULTURA
3495,FACULDADE PINHALZINHO
3496,INSTITUTO NACIONAL DE DESENVOLVIMENTO HUMANO
3497,FACULDADE BRASILIENSE DE DIREITO FADIR
3498,FACULDADE DE ARTES TECNOLOGIA E NEGOCIOS
3499,INSTITUTO BOLSA DE VALORES
3501,FACULDADE DE ADMINISTRACAO DE SANTO ANTONIO DO
3502,FACULDADE DA FRONTEIRA FAF
3503,FACUDADE DA CIENCIA DA SAUDE
3504,ESCOLA DE ENSINO SUPERIOR DE BRASILANDIA DE MI
3505,INSTITUTO SUPERIOR DE EDUCACAO DE JACUTINGA
3506,FACULDADE DE CIENCIAS EDUCACIONAIS DE SERGIPE
3507,FACULDADE DE ADMINISTRACAO DE EMPRESAS IBRAFEM
3509,FACULDADE VICENTINA  FAVI
3510,UNASP FACULDADE DO SERVIDOR PUBLICO
3511,FACULDADES COMUNITARIA UNIDAS
3512,ILES INSTITUTO LOGOS DE EDUCACAO E ENSINO SUPE
3513,FACULDADE DE PRESIDENTE VENCESLAU
3514,FACULDADE DE CIENCIAS GERENCIAIS ALVES FORTES
3515,CENTRO UNIVERSITARIO DA VITORIA DE SANTO ANTAO
3516,FACULDADE DE CIENCIAS DA SAUDE ARCHIMEDES THEO
3517,FACULDADE IEGS
3518,FACULDADE SOCIESC DE JARAGUA DO SUL
3519,FACULDADE DE CIENCAS GERENCIAIS DO ALTO PARAOP
3520,INSTITUTO DE EDUCACAO SUPERIOR SANTA MARIA IES
3521,FACULDADE EXPOENTE DE EDUCACAO E PESQUISA
3522,FACULDADE CATOLICA DE POUSO ALEGRE
3523,FACULDADE DE DIREITO DA FUNDACAO ESCOLA SUPERI
3524,UNIBUSINESS FACULDADE INTERNACIONAL DE EDUCACA
3525,FACULDADE EVANGELICA DE TECNOLOGIA  CIENCIAS E
3526,INSTITUTO DE ENSINO SUPERIOR MIGUEL DE CERVANT
3527,FACULDADE CATOLICA DOM AQUINO DE CUIABA
3528,FACULDADES CATOLICAS DE FRANCA
3529,CENTRO UNIVERSITARIO EURIPEDES DE MARILIA
3530,FACULDADE DE NANUQUE
3531,FACULDADE CACHOEIRO DE ITAPEMIRIM
3532,FACULDADE DO OESTE CATARINENSE
3533,FACULDADE CERES
3534,FACULDADE BRASILEIRA DE ENSINO SUPERIOR E TECN
3535,FACULDADE PAULISTA DE CIENCIAS FARMACEUTICAS
3536,FACULDADE DE TEOLOGIA EVANGELICA EM CURITIBA
3537,INSTITUTO BRASILEIRO DE MODA
3538,FACULDADE FAE SEVIGNE PORTO ALEGRE
3539,FACULDADE SANTA LUCIA MOGI GUACU
3540,UNIAO DE FACULDADES DE ADMINISTRACAO PUBLICA U
3541,FACULDADE DE TAPEJARA
3542,INSTITUTO DE ENSINO SUPERIOR DE MINAS GERAIS
3543,FACULDADE NOVO HAMBURGO
3544,FACULDADE DE FISIOTERAPIA MACHADO DE ASSIS
3546,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3547,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3548,FACULDADE SUICA DE HOTELARIA DE JOINVILLE S A
3549,FACULDADE NACIONAL SENIOR
3550,FACULDADE SAO FRANCISCO DE CAJAZEIRAS
3551,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3552,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3553,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3554,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3555,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3556,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3557,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3558,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3559,FACULDADE DE PORANGATU
3560,FACULDADE DE CIENCIAS DA SAUDE DE CAMPINA GRAN
3561,FACULDADE SANTA RITA
3562,FACULDADE DE ODONTOLOGIA RORAIMA
3563,FACULDADE DE ODONTOLOGIA RIO BRANCO
3564,FACULDADE MORENENSE DE EDUCACAO FAM
3566,FACULDADE PAULO FREIRE
3567,FMV FACULDADE METROPOLITANA DE VITORIA
3568,FACULDADE DE DESENVOLVIMENTO E INTEGRACAO REGI
3569,INSTITUTO SUPERIOR DE EDUCACAO DE MANHUACU
3570,FACULDADE DE CIENCIAS E EDUCACAO DE SAO SIMAO
3572,FACULDADE DE DIREITO DA ACADEMIA BRASILEIRA DE
3573,FACULDADE TEOLOGICA BATISTA DE BRASILIA
3574,UNIAO DE FACULDADES DE PARAISO UNIFAP
3575,FACULDADE 1
3576,FACULDADE DE ENSINO SUPERIOR DO LITORAL SUL FA
3577,FACULDADE DE ALTOS ESTUDOS DA BAHIA FAE
3578,FACULDADE DE CIENCIAS FARMACEUTICAS DO PANTANA
3579,INSTITUTO LUTERANO DE EDUCACAO SUPERIOR DO PAR
3580,FACULDADE DE EDUCACAO CIENCIAS SOCIAIS E DA SA
3581,FACULDADE DE ENSINO TECNOLOGICO FILADELFIA
3582,FACULDADE PORTO CALVO
3583,ESCOLAS SUPERIORES DE ADMINISTRACAO GEOGRAFIA
3584,INSTITUTO SUPERIOR DE EDUCACAO SANTA CRUZ
3585,FACULDADE SANTA CRUZ
3586,FACULDADE OXFORD DO BRASIL
3587,FACULDADE DIOCESANA SAO JOSE
3588,CENTRO UNIVERSITARIO DOM PEDRO II
3589,FACULDADE TEOREMA
3590,FACULDADE DE ENFERMAGEM SAO VICENTE DE PAULA
3591,INSTITUTO SUPERIOR DE EDUCACAO DE MACAPARANA
3593,FACULDADE DE CHAPECO
3594,FACULDADE DE CIENCIA TECNOLOGIA E EDUCACAO
3595,INSTITUTO SUPERIOR DE EDUCACAO DE SANTA MARIA
3596,FACULDADE AMERICA LATINA
3597,FACULDADE DE ENSINO SUPERIOR DE SANTA CRUZ DO
3598,FACULDADE DE IRATI
3599,FACULDADE DE ITAPEMA FAI
3600,FACULDADE DO LITORAL PAULISTA
3601,FACULDADE DE TAPEJARA FATAP
3602,CENTRO UNIVERSITARIO AUTONOMO DO BRASIL
3603,FACULDADE ANHANGUERA DE GUARULHOS
3604,INSTITUTO SUPERIOR DE EDUCACAO DE CARIACICA
3605,FACULDADE DE CIENCIAS COMUNICACOES E TECNOLOGI
3606,INSTITUTO SUPERIOR DE EDUCACAO PRESBITERIANO V
3607,ESCOLA SUPERIOR ASSOCIADA DE GOIANIA
3608,INSTITUTO SUPERIOR DE EDUCACAO DE LONDRINA
3609,FACULDADES INTEGRADAS IPITANGA
3610,CENTRO UNIVERSITARIO ICESP
3611,FACULDADES INTEGRADAS DA UNIAO DE ENSINO SUPER
3612,FACULDADE ANHANGUERA DE VALINHOS
3613,FACULDADES INTEGRADAS IESGO
3614,ESCOLA DE CIENCIAS SOCIAIS
3615,FACULDADE PERNAMBUCANA DE SAUDE
3616,FACULDADES PHD
3617,FACULDADE DE CIENCIAS HUMANAS E EXATAS DO SERT
3618,FACULDADE LUSOFONA DE SAO PAULO
3619,UNESC UNIAO DAS ESCOLAS SUPERIORES DE CACOAL
3620,ESCOLA INTERNACIONAL DE ADMINISTRACAO E NEGOCI
3623,FACULDADE DE CIENCIAS DA BAHIA FACIBA NOME ALT
3624,PUC MINAS ARCOS
3625,FACULDADE DO COMPLEXO EDUCACIONAL SANTO ANDRE
3626,FACULDADE BRASILEIRA DE EDUCACAO E NEGOCIOS
3627,FACULDADE DE TECNOLOGIA BARAO DO RIO BRANCO
3628,FACULDADADE TEOLOGICA REFORMADA FTR
3630,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3631,FACULDADE DAMAS DA INSTRUCAO CRISTA
3632,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3633,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3634,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3635,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3636,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3637,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3638,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3639,FACULDADE DE DIREITO DO INSTITUTO DE ENSINO SU
3640,FACULDADE DE CIENCIAS ECONOMICAS DE JEQUIE
3641,CENTRO UNIVERSITARIO DA FUNDACAO EDUCACIONAL D
3642,FACULDADE INTEGRADA DE PERNAMBUCO SURUBIM FACI
3643,FACULDADES INTEGRADAS DO RIO GRANDE DO NORTE
3644,FACULDADE CATOLICA SANTA TERESINHA
3645,FACULDADE CATOLICA SANTA TERESINHA CADASTRADA
3646,FACULDADE DE TECNOLOGIA DE OURO FINO
3647,FACULDADE DE TECNOLOGIA MARISTA
3648,INSTITUTO DE ENSINO SUPERIOR DE CUIABA
3649,CENTRO UNIVERSITARIO CIDADE VERDE
3650,INSTITUTO SUPERIOR DE EDUCACAO GREGORIANO ISEG
3651,FACULDADE DAS AGUAS QUENTES FAQ
3652,FACULDADE PRESBITERIANA SAMUEL GRAHAM
3654,FACULDADE DE CIENCIAS COMUNICACOES E TECNOLOGI
3655,FACULDADE DE JANAUBA FAJAN
3656,FACULDADE NOVA TRINDADE
3657,FACULDADE DE COMPUTACAO DE MONTES CLAROS
3658,FACULDADE UIRAPURU
3659,FACULDADE DE CIENCIAS COMUNICACAO E TECNOLOGIA
3662,FACULDADE EVANGELICA LOGOS
3663,FACULDADE FORTIUM DE BRASILIA
3664,INSTITUTO SUPERIOR DE EDUCACAO DE VARGEM GRAND
3665,FACULDADE DE JOACABA FJ
3666,FACULDADE DE ADMINISTRACAO DA AERONAUTCA
3667,FACULDADE FILADELFIA
3668,FACULDADE DE ENFERMAGEM E ADMINISTRACAO DE JAT
3669,FACULDADE DOM LUIS DE ORLEANS E BRAGANCA
3670,FACULDADE DE CRICIUMA FACRI
3671,FACULDADE INTERDISCIPLINAR DE BLUMENAU
3672,FACULDADE DE CAMPOS NOVOS FACAN
3673,FACULDADE PREMIER
3674,INSTITUTO NORMAL SUPERIOR FBV
3675,SINAL FACULDADE DE CIENCIAS HUMANAS E SOCIAIS
3676,FACULDADE DE TECNOLOGIA DO VALE DO RIBEIRA
3677,FACULDADE DE TECNOLOGIA DE ALTA PAULISTA
3678,FACULDADE DE TECNOLOGIA DO VALE DO ITAJAI
3679,INSTITUTO DE ENSINO SUPERIOR DE GARCA
3680,FACULDADE PADRE DOURADO FORTALEZA
3681,FACULDADES DE GARANHUNS
3682,INSTITUTO SUPERIOR DE EDUCACAO DO MUNICIPIO DE
3684,FUNDACAO DE ENSINO SUPERIOR DE CLEVELANDIA
3685,FACULDADE DA POLI
3686,FADITU FACULDADE DE DIREITO DE ITU
3687,FACULDADES INTEGRADAS DE JACAREI
3688,FACULDADES INTEGRADAS DO VALE DO IVAI
3689,FACULDADE PEDRO JULIAO
3690,FACULDADE PEDRO II
3691,FACULDADE DE TECNOLOGIA TUPY DE SAO BENTO DO S
3692,FACULDADE DE TECNOLOGIA IPEP DE CAMPINAS
3693,FACULDADE DE TECNOLOGIA IPEP DE SAO PAULO
3694,FACULDADE DE TECNOLOGIA ESTACIO DE SA DE SANTA
3695,FACULDADE DE TECNOLOGIA ESTACIO DE SA DE OURIN
3696,FACULDADE DE TECNOLOGIA DE JOINVILLE
3697,FACULDADE FAMERCOSUL
3698,PORTAL FACULDADES
3699,FACULDADE ECOAR
3700,FACULDADE DE CIENCIAS JURIDICAS DE PORTO VELHO
3701,FACULDADE DE CIENCIAS GERENCIAIS DE TEOFILO OT
3702,FACULDADES ELO
3703,INSTITUTO SUPERIOR DE ADMINISTRACAO E NEGOCIOS
3704,FACULDADE DO ALTO PARNAIBA FAP
3705,FACULDADE KHALIL LTDA
3706,FACULDADE REGIONAL DE POJUCA
3707,FACULDADE INTEGRADAS DO MORENO FIAM
3708,FACULDADE INTEGRAL DO RIO GRANDE DO NORTE
3709,INSTUTO DE ENSINO SUPERIOR SAO LUCAS
3710,ESCOLA SUPERIOR NACIONAL DE SEGUROS
3712,FACULDADE VITORIA
3713,INSTITUTO DE TEOLOGIA E PASTORAL
3714,INSTITUTO TATUIANO DE ENSINO SUPERIOR ITES
3715,FACULDADE METROPOLITANA DE SAO PAULO
3716,FACULDADE CIENCIAS DA VIDA
3717,FACULDADE CULTURAL ANJAGUNA
3718,FACULDADE DE CIENCIAS HUMANAS JULIO GOMES
3719,FACULDADE DE CORACAO DE JESUS FADECOR
3720,FACULDADE PORTO REAL
3721,FACULDADE OLIVEIRA TELLES
3722,FACULDADE DE CIENCIAS MEDICAS INTEGRADAS
3723,FACULDADE NACIONAL POLICURSOS
3724,FACULDADE MARANHENSE SAO JOSE DOS COCAIS
3725,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3726,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3727,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3728,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3729,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3730,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3731,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3732,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3733,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3734,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3735,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3736,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3737,FACULDADE INTEGRADA DE ADMINISTRACAO PUBLICA D
3738,FACULDADE DE EDUCACAO CIENCIAS E LETRAS DO NOR
3739,FACULDADE ASSOCIACAO HOSPITALAR DE ILHA SOLTEI
3740,FACULDADE DE MEDICINA DE BOTUCATU
3741,FACULDADE PITAGORAS BACABAL MEARIM
3742,FACULDADES DE CIENCIAS E TECNOLOGIA DA AMAZONI
3743,FACULDADE DE JACAREI
3744,FACULDADE CETEP
3745,INSTITUTO SUPERIOR SEJA
3746,FACULDADE PAULISTA DE PESQUISA E ENSINO SUPERI
3748,FACULDADE DE TECNOLOGIA THEREZA PORTO MARQUES
3749,FACULDADE BRASILIA DE SAO PAULO
3750,FACULDADE DE TECNOLOGIA DO PARA
3751,FACULDADE DE TECNOLOGIA DO CEARA
3752,FACULDADE DE TECNOLOGIA CONTEC
3753,FACULDADES INTEGRADAS DOM PEDRO II
3754,FACULDADES INTEGRADAS ADVENTISTAS DE MINAS GER
3755,FACULDADE EM AUTOCONHECIMENTO
3756,ALFA  FACULDADE DE ALMENARA
3757,FACULDADE SERRA DA MESA
3758,FACULDADE SOCIESC
3759,INSTITUTO SUPERIOR TUPY DE SAO BENTO DO SUL
3760,FACULDADE ITABORAI
3761,FACULDADE MONSENHOR JOSE SINFRONIO
3762,FACULDADE DE TECNOLOGIA MILENIO
3764,CENTRO DE EDUCACAO SUPERIOR DE POUSO ALEGRE
3765,FACULDADE SANTO AGOSTINHO DE SANTA VITORIA FAS
3766,INSTITUTO SUPERIOR DE EDUCACAO SANTO AGOSTINHO
3767,FACULDADE DE EDUCACAO CIENCIAS E TECNOLOGIA
3768,FACULDADE IBGEN
3769,FACULDADE MADRE TEREZA
3770,FACULDADE TEOLOGICA BATISTA DE SAO PAULO
3771,FACULDADE DE TURISMO E ADMINISTRACAO
3772,FACULDADE DE TECNOLOGIA PASTOR DOHMS
3773,FACULDADE PAULIPOLITANA
3774,FACULDADE SAO TOMAZ DE AQUINO
3775,INSTITUTO UVB BR
3776,INSTITUTO DE ENSINO SUPERIOR DE MATO GROSSO
3777,FACULDADE CURITIBANA
3778,FACULDADE DE ARACAJU
3779,FACULDADE ESTACIO DE SANTO ANDRE
3780,FACULDADE DE TECNOLOGIA IMPACTA
3781,FACULDADE DE TECNOLOGIA DE JARAGUA DO SUL
3782,FACULDADE DE TECNOLOGIA CACHOEIRO DE ITAPEMIRI
3783,FACULDADE PARAENSE DE ENSINO
3784,INSTITUTO DE ENSINO SUPERIOR DO RIO GRANDE DO
3785,INSTITUTO MARANHENSE DE ENSINO E CULTURA
3786,FACULDADE DE ENSINO DE MINAS GERAIS
3787,FACULDADE DE ENSINO SUPERIOR DA AMAZONIA
3788,FACULDADE JUIZ DE FORA
3789,FACULDADE EVANGELICA DE GOIANESIA
3790,FACULDADE DE TECNOLOGIA ENSITEC
3791,FACULDADE DE MEDICINA DO VALE DO ACO
3792,FACULDADE DE TECNOLOGIA DO ITAJAIMIRIM
3793,FACULDADE DE FRUTAL
3794,FACULDADE DE TECNOLOGIA DE MINAS GERAIS
3795,CENTRO DE EDUCACAO SUPERIOR TECNOLOGICA DA TER
3796,CENTRO DE ENSINO SUPERIOR DO ESTADO DO PIAUI
3797,FACULDADE GUAIRACA
3798,FACULDADE DE TEOLOGIA DE MINAS GERAIS
3799,INSTITUTO SUPERIOR DE EDUCACAO E CIENCIAS DA S
3800,INSTITUTO DE EDUCACAO E CULTURA VALE DO IPANEM
3801,CENTRO UNIVERSITARIO ZEN
3802,CENTRO DE EDUCACAO TECNOLOGICA DO INTERIOR PAU
3803,FACULDADE DE JAU
3804,FACULDADE SENAC PORTO ALEGRE  FSPOA
3805,FACULDADE DE TECNOLOGIA DA PARAIBA
3806,FACULDADE DE TECNOLOGIA DE RORAIMA
3807,FACULDADE DE TECNOLOGIA IAPEC
3808,FACULDADE DE ENSINO FACTUAL
3809,INSTITUTO SUPERIOR DE EDUCACAO TEOLOGICA DO AM
3810,NUCLEO DE CIENCIAS FIORAVANTI DI PIERO
3811,CENTRO DE ESTUDOS EM NEGOCIOS INTERNACIONAIS
3812,FACULDADES PARA O DESENVOLVIMENTO SUSTENTAVEL
3813,FATECE FACULDADES DE TECNOLOGIA CIENCIAS E EDU
3814,FACULDADE PLANALTO DO BRASIL FPB
3815,FACULDADE DE DIREITO DE ALTA FLORESTA
3816,FACULDADE SANTA MARIA GORETTI
3817,FACULDADE UNINASSAU JOAO PESSOA
3818,FACULDADES EQUIPE LTDA
3819,FACULDADE DE ADMINISTRACAO DE EMPRESAS E GESTA
3820,FACULDADE PETRONIO PORTELA
3821,FACULDADE SAO BOAVENTURA
3822,INSTITUTO DE EDUCACAO SUPERIOR DE POUSO ALEGRE
3823,INSTITUTO DE EDUCACAO SUPERIOR DE POUSO ALEGRE
3824,FACULDADE JOSE CANDIDO DE MELO CARVALHO
3825,FACULDADE CATOLICA RIO PRETENSE
3826,FACULDADE DE SALVADOR
3827,ESCOLA SUPERIOR DE CIENCIAS COMERCIAIS
3828,INSTITUTO SUPERIOR DE EDUCACAO DE TUPA
3829,CENTRO DE EDUCACAO SUPERIOR TECNOLOGICA DA TER
3830,INSTITUTO CENTRO DE ENSINO TECNOLOGICO SOBRAL
3831,FACULDADE DE CIENCIAS CONTABEIS
3832,FACULDADE DE ZOOTECNIA
3833,FACULDADE DE ENGENHARIA FLORESTAL
3834,FACULDADE SANTA LUCIA PIRACICABA
3835,UNIVERSIDADE VIRTUAL DO ESTADO DO MARANHAO
3836,UNIVERSIDADE PAULISTA UNIP
3837,FACULDADE MARINHO PAULISTA
3838,FACULDADE ESTACIO DE JOAO PESSOA  ESTACIO DE J
3839,FACULDADE IPEMED DE CIENCIAS MEDICAS
3840,CENTRO UNIVERSITARIO FACVEST
3841,FACULDADE PITAGORAS DE ADMINISTRACAO SUPERIOR
3842,FACULDADE METROPOLITANA DE VITORIA
3843,FACULDADE CANDIDO MENDES DE ARARUAMA
3844,ESCOLA SUPERIOR DE CASTANHAL
3845,FACULDADE TAQUARITUBA
3846,FACULDADE DE CIENCIAS E CULTURA DA LIBERDADE
3847,FACULDADE BAIANA DE DIREITO E GESTAO
3848,FACULDADE GABRIELA GONCALVES
3849,FUNDACAO UNIVERSIDADE FEDERAL DO TOCANTINS
3850,FACULDADE CONTEMPORANEA UNC SALVADOR
3851,FACULDADE DO RECONCAVO UNR CRUZ DAS ALMAS
3852,FACULDADE DO RECONCAVO UNR CONCEICAO DO ALMEID
3853,FACULDADE UNINASSAU NATAL
3854,FACULDADE IDEAL DE BRASILIA
3855,FACULDADES INTERNACIONAIS SAN MARTIN DO BRASIL
3856,FACULDADE DE SANTO ANASTACIO
3857,FACULDADE GAUDIUM
3858,FACULDADE TOBIAS BARRETO DE MENEZES FATOB
3859,INSTITUTO SUPERIOR DE EDUCACAO TECNOLOGICA DO
3860,FACULDADE TRIUNFO
3861,FACULDADE DE TECNOLOGIA E NEGOCIOS CONTEMPORAN
3862,FACULDADE LUCIANO FEIJAO
3863,FACULDADE COOPER1 DE GOIANIA
3864,CENTRO UNIVERSITARIO UNIRB  ALAGOINHAS
3865,FACULDADES INTEGRADAS PADRE HUMBERTO
3866,FACULDADE BRASILEIRA DE EDUCACAO E CULTURA
3867,FACULDADE MAUA DE BRASILIA
3868,INSTITUTO DE EDUCACAO SUPERIOR DO ALTO PARANAI
3869,INSTITUTO FLORENCE DE ENSINO SUPERIOR
3870,INSTITUTO DE ESTUDOS DE NEGOCIOS INTERNACIONAI
3872,FACULDADE DE TECNOLOGIA SAO CARLOS
3873,FACULDADE DE TECNOLOGIA DE BRUMADO
3874,FACULDADE PROJECAO DE PLANALTINA
3875,CENTRO UNIVERSITARIO DA FUNDACAO EDUCACIONAL G
3876,FACULDADE UNYLEYA
3877,FACULDADE LINEAR
3878,FACULDADE DECISION DE NEGOCIOS
3879,CENTRO UNIVERSITARIO MAURICIO DE NASSAU DE CAM
3880,INSTITUTO SOCIAL DE EDUCACAO
3881,FACULDADE DE INTEGRACAO DO SERTAO
3882,INSTITUTO DE ENSINO SUPERIOR DE FORMACAO PROFI
3883,FACULDADE EVANGELICA LOGOS FAEL
3884,CESB CENTRO DE EDUCACAO SUPERIOR DA BAHIA
3885,FACULDADES INTEGRADAS DA TERRA PAULISTA FATERR
3886,FACULDADE AGUA BOA
3887,FACULDADE DE CIENCIAS JURIDICAS E GERENCIAIS
3888,ESCOLA SUPERIOR DE ADMINISTRACAO E NEGOCIOS DE
3889,FACULDADE DE IGARAPAVA
3890,FACULDADE MARQUES GUIMARAES
3891,SOCIEDADE EDUCACIONAL ALBERTI TOLENTINO
3892,FACULDADE DE CIENCIAS SOCIAIS J G MELO
3894,UNIESP UNIAO DAS INSTITUICOES EDUCACIONAIS DO
3895,INSTITUTO DE EDUCACAO SUPERIOR ALBERTI TOLENTI
3896,FACULDADE PAULISTA DE COMUNICACAO
3897,FACULDADE BUSCA VIDA
3898,SLCSA FACULDADE SANTA INES
3899,FACULDADE DE RIBEIRAO DAS NEVES
3901,FACULDADES PROEDUC
3902,FUNDACAO ESCOLA DO MINISTERIO PUBLICO DO ESTAD
3903,INFAMILIA INSTITUTO BRASILEIRO DE SAUDE DA FAM
3904,FACULDADE DE CIENCIAS GERENCIAIS DE CATAGUASES
3905,FACULDADE DE DIREITO DOCTUM DE BELO HORIZONTE
3906,FACULDADE DE CIENCIAS AGRARIAS E DA TERRA DE T
3907,FACULDADE DE SAPIRANGA
3908,FACOM FACULDADE COMUNITARIA DO BRASIL
3909,ISTITUTO DE ENSINO SUPERIOR PARAENSE
3910,INSTITUTO SUPERIOR DE EDUCACAO DE CATAGUASES
3911,FACULDADE DE TECNOLOGIA OXFORD DO BRASIL
3912,FACULDADE SUDOESTE PAULISTA BOTUCATU
3913,FACULDADE SUDOESTE PAULISTA TAQUARITUBA
3914,INSTITUTO SUPERIOR DE EDUCACAO DO VALE DO CAPI
3915,INSTITUTO SUPERIOR DE EDUCACAO CARLOS JOEL
3916,FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS DO P
3917,FACULDADE DE MERCADO AMPLO FAMA
3918,FACULDADE INTEGRADA EM CIENCIAS HUMANAS
3919,FACULDADE NOSSA SENHORA DO BOM CONSELHO
3920,FACULDADE DE TECNOLOGIA SENAI ROBERTO MANGE
3921,CENTRO UNIVERSITARIO ARNALDO HORACIO FERREIRA
3922,FACULDADE ARNALDO HORACIO FERREIRA
3923,FACULDADE SAO FRANCISCO
3924,FACULDADE DE IBIRACU
3925,FACULDADE DE TEOLOGIA DO BRASIL FATEB
3926,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DO AL
3927,FACULDADE DE CACERES
3928,FAESB FACULDADE DE ENSINO SUPERIOR DO BRASIL
3929,FACULDADES UNIDAS DE SETE LAGOAS
3930,INSTITUTO DE EDUCACAO SUPERIOR RAIMUNDO SA
3931,FACULDADE PRESBITERIANA ARMSTRONG
3932,FACULDADE DE EDUCACAO E TECNOLOGIA DE ITANHEM
3933,FACULDADE METODO DE SAO PAULO
3934,FACULDADE DA SAUDE
3935,FACULDADE DE EDUCACAO TEOLOGICA DO DISTRITO FE
3936,FACULDADE ANHANGUERA DE LIMEIRA
3937,FACULDADE ANHANGUERA DE INDAIATUBA
