Código IES,Nome da IES - Instituição de Ensino Superior
236,FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S
237,FACULDADE DE DIREITO DE SAO JOAO DA BOA VISTA
238,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE SA
239,FACULDADE DE MEDICINA VETERINARIA OCTAVIO BAST
240,UNIVERSIDADE SANTA URSULA
241,FACULDADE DE ENGENHARIA QUIMICA DE LORENA
242,CENTRO UNIVERSITARIO ANHANGUERA DE SANTO ANDRE
243,FACULDADE DO CLUBE NAUTICO MOGIANO
244,CENTRO UNIVERSITARIO FIEO
245,FACULDADE DE ADMINISTRACAO
254,CENTRO UNIVERSITARIO UNIBAN
255,FACULDADE DE ENGENHARIA E AGRIMENSURA DE PIRAS
256,FACULDADE DE PIRAJU
257,FACULDADE DE ADMINISTRACAO E CIENCIAS CONTABEI
263,FACULDADES INTEGRADAS CAMPOS SALLES
264,UNIVERSIDADE SAO MARCOS
265,CENTRO UNIVERSITARIO DAS FACULDADES INTEGRADAS
266,UNIVERSIDADE METODISTA DE PIRACICABA
267,CENTRO UNIVERSITARIO ESPIRITOSANTENSE/FAESA
268,FACULDADE DE DIREITO DA ALTA PAULISTA
269,FACULDADE FACCAT
270,FACULDADE DE TUPA
271,UNIVERSIDADE DO OESTE PAULISTA
273,ESCOLA DE ENGENHARIA INDUSTRIAL DE SAO JOSE DO
274,FACULDADE DE CIENCIAS APLICADAS DE SAO JOSE DO
275,UNIVERSIDADE DO VALE DO PARAIBA
276,FACULDADE DE DIREITO DE SOROCABA
277,CENTRO UNIVERSITARIO AUGUSTO MOTTA
278,FACULDADES INTEGRADAS SIMONSEN
279,FACULDADES INTEGRADAS HELIO ALONSO
280,FACULDADE DE DIREITO DO OESTE DE MINAS
281,CONSERVATORIO DRAMATICO MUSICAL SAO PAULO
282,FACULDADE DE CIENCIAS ADMINISTR1S E CONTABEIS
283,FACULDADE DE EDUCACAO COSTA BRAGA
284,FACULDADE DE MEDICINA DE ITAJUBA
288,FACULDADE DE DIREITO DO VALE DO RIO DOCE
289,FACULDADE DE EDUCACAO DE JOINVILLE
290,FACULDADE DE DIREITO DE JOINVILLE
291,FACULDADE DE PSICOLOGIA DE JOINVILLE
292,FACULDADE DE CIENCIAS DA SAUDE DE JOINVILLE
293,FACULDADE DE CIENCIAS E TECNOLOGIA DE JOINVILL
294,FACULDADE TRES DE MAIO
295,UNIVERSIDADE DE SANTA CRUZ DO SUL
296,CENTRO UNIVERSITARIO DA REGIAO DA CAMPANHA
297,FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S
298,UNIVERSIDADE PITAGORAS UNOPAR
299,FACULDADE DE JANDAIA DO SUL
300,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE FO
301,ESCOLA DE BIBLIOTECONOMIA
302,FACULDADE DIVINOPOLIS
303,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE CA
304,FACULDADE DE CIENCIAS CONTABEIS DE CARATINGA
307,FACULDADE DE MEDICINA DE BARBACENA
308,CENTRO UNIVERSITARIO PRESIDENTE ANTONIO CARLOS
316,UNIVERSIDADE NOVE DE JULHO
317,FACULDADES INTEGRADAS ALCANTARA MACHADO
318,FACULDADE DE ARTES ALCANTARA MACHADO
319,UNIVERSIDADE BRASIL
320,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE TA
321,FACULDADE UNIDAS DE TATUI
322,UNIVERSIDADE PAULISTA
328,FACULDADE DE CIENCIAS JURIDICAS E SOCIAIS VIAN
329,ESCOLA SUPERIOR DE AGRONOMIA DE PARAGUACU PAUL
330,UNIVERSIDADE IGUACU
332,ESCOLA DE ENGENHARIA DE LINS
333,FACULDADE DE INFORMATICA DE LINS
334,FACULDADE DE SERVICO SOCIAL DE LINS
335,FACULDADE DE EDUCACAO E CIENCIAS PINHEIRENSE
336,FACULDADE MACHADO SOBRINHO
337,CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA
338,PONTIFICIA UNIVERSIDADE CATOLICA DE MINAS GERA
339,FACULDADE DE JOAO PESSOA (SANTA EMILIA DO RODA
343,CENTRO UNIVERSITARIO NEWTON PAIVA
344,CENTRO UNIVERSITARIO UNA
345,ESCOLA DE ENGENHARIA KENNEDY
346,INSTITUTO SUPERIOR DE CIENCIAS APLICADAS  ISCA
349,CENTRO UNIVERSITARIO DE BELO HORIZONTE
351,FACULDADE DE CIENCIAS MEDICAS DE MINAS GERAIS
352,CENTRO UNIVERSITARIO DE JOAO PESSOA
353,FACULDADE EVANGELICA MACKENZIE DO PARANA
355,UNIVERSIDADE TUIUTI DO PARANA
359,ESCOLA SUPERIOR DE EDUCACAO FISICA DE MUZAMBIN
360,CENTRO UNIVERSITARIO PAULISTANO
361,FACULDADE PAULISTA DE SERVICO SOCIAL DE SAO CA
362,FACULDADE PAULISTA DE SERVICO SOCIAL
363,FACULDADE MOZARTEUM DE SAO PAULO
364,FACULDADE DE CIENCIAS CONTABEIS DE PONTE NOVA
367,UNIVERSIDADE ESTADUAL DE MONTES CLAROS
368,FACULDADE DE EDUCACAO FISICA DA ASSOCIACAO CRI
369,FACULDADE AUXILIUM DE FILOSOFIA CIENCIAS E LET
370,FACULDADE PAULISTA DE ARTES
371,FACULDADE DE MUSICA CARLOS GOMES
372,FACULDADE DE BIBLIOTECONOMIA E CIENCIA DA INFO
373,ESCOLA DE SOCIOLOGIA E POLITICA DE SAO PAULO
374,CENTRO UNIVERSITARIO DAS FACULDADES METROPOLIT
375,UNIVERSIDADE SANTO AMARO
376,CENTRO UNIVERSITARIO ANHANGUERA DE SAO PAULO
377,FACULDADE DE EDUCACAO PADRE ANCHIETA
378,FACULDADE DE DIREITO PADRE ANCHIETA
379,FACULDADE DE CIENCIAS E LETRAS PADRE ANCHIETA
380,FACULDADE DE CIENCIAS ECONOMICAS CONTABEIS E D
381,FACULDADE DE PSICOLOGIA PADRE ANCHIETA
382,FACULDADE DE TECNOLOGIA PADRE ANCHIETA
383,UNIVERSIDADE DA AMAZONIA
384,CENTRO UNIVERSITARIO DE ANAPOLIS
385,UNIVERSIDADE SALVADOR
386,CENTRO UNIVERSITARIO DE GOIAS
387,UNIVERSIDADE CATOLICA DOM BOSCO
388,FACULDADE DE CIENCIAS CONTABEIS E ATUARIAIS DA
389,FACULDADE DE CIENCIAS ADMINISTRATIVAS E CONTAB
390,FACULDADE DE EDUCACAO FISICA DE LINS
391,FACULDADE DE TECNOLOGIA DA ALTA NOROESTE
395,FACULDADE DE CIENCIAS CONTABEIS DE LUCELIA
396,CENTRO UNIVERSITARIO RUY BARBOSA WYDEN
397,FACULDADE RUY BARBOSA DE TECNOLOGIA EM PROCESS
398,UNIVERSIDADE TIRADENTES
399,ESCOLA DE ENGENHARIA DE AGRIMENSURA
400,FACULDADE DE DIREITO DE OLINDA
401,CENTRO DE ESTUDOS SUPERIORES BARROS MELO
402,CENTRO UNIVERSITARIO DE BRASILIA
403,UNIVERSIDADE CATOLICA DE BRASILIA
404,FACULDADES INTEGRADAS DA UPIS
405,FOCCA  FACULDADE DE OLINDA
408,ESCOLA SUPERIOR DE RELACOES PUBLICAS
409,UNIVERSIDADE DE PERNAMBUCO
410,FACULDADE DE CIENCIAS HUMANAS ESUDA
413,FACULDADE PORTOALEGRENSE DE EDUCACAO CIENCIAS
414,FACULDADE PORTOALEGRENSE DE CIENCIAS CONTABEIS
415,FACULDADE DE CIENCIAS MEDICAS DA SANTA CASA SA
416,FACULDADE DE SAO PAULO
417,UNIVERSIDADE CIDADE DE SAO PAULO
420,UNIVERSIDADE DE MARILIA
421,FACULDADE ESTADUAL DE CIENCIAS E LETRAS DE CAM
423,UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUA
424,FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S
425,FACULDADE DE EDUCACAO ARTISTICA DE SANTA ROSA
426,UNIVERSIDADE FRANCISCANA
428,FACULDADE DE CIENCIAS CONTABEIS E DE ADMINISTR
429,FACULDADE DE DIREITO DE MARILIA
430,CENTRO UNIVERSITARIO FILADELFIA
431,FACULDADE DE MEDICINA DE MARILIA
432,FACULDADE PARANAENSE
433,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE PA
434,FACULDADE SANTA MARCELINA
435,FACULDADE SANTA MARCELINA MURIAE  FASM
437,UNIVERSIDADE PARANAENSE
438,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE IT
439,FACULDADE DOUTOR FRANCISCO MAEDA
440,FACULDADE DE DIREITO DE ITU
441,UNIVERSIDADE DO CONTESTADO
442,FACULDADE DE FILOSOFIA CIENCIAS E LETRAS DE IT
443,FACULDADE DE CIENCIAS CONTABEIS E ADMINISTR1S
446,UNIVERSIDADE DE CRUZ ALTA
447,FACULDADE CATOLICA DE CIENCIAS ECONOMICAS DA B
448,CENTRO UNIVERSITARIO RITTER DOS REIS
449,UNIVERSIDADE LUTERANA DO BRASIL
